task_id,dataset,source_split,image_file,width,height,prefilled_kie_regions,sha256
member4-0001,UIT-MLReceipts,test,images/000937.jpg,1536,2048,10,9606ac863c1656e3052a73fcf78a9dfc2dc884c6eef0697d42e9f05339a7a23b
member4-0002,UIT-MLReceipts,test,images/000975.jpg,720,960,10,bf4e1619853ac2328ae92a35141d4ec2d6526541725e743291052d12fe4446d5
member4-0003,UIT-MLReceipts,test,images/001059.jpg,1536,2048,10,bf32a42d198e47bcca43859a924977274216cd336db26cc90e1dfbff8c20ddb4
member4-0004,UIT-MLReceipts,test,images/001060.jpg,302,403,2,21ded550c3dfa12460d318ff11316b5871696e584a3fe35f37d405b942a5deba
member4-0005,UIT-MLReceipts,test,images/001163.jpg,720,960,3,c0de60cc1101a3121939d04ee02c7618678b5bcb2cb7979ceddab7df0bb8672f
member4-0006,UIT-MLReceipts,test,images/001268.jpg,1152,2048,2,b7b23575707da226f669e3bebc01226bde05c3ac4a40eaed192f8b4a52f19050
member4-0007,UIT-MLReceipts,test,images/001301.jpg,2048,1536,5,31a583e35e97ad21ab4aabb0c70f4e9958960effa8bdc23b246c046f76133dc2
member4-0008,UIT-MLReceipts,test,images/001305.jpg,1276,956,5,91b8c8d10bc4f76b705eccf584604d2d633495b0b7b77a59000d485c338bbbd3
member4-0009,UIT-MLReceipts,test,images/001306.jpg,2048,2048,5,bff456f752e38e0268bf6a5e3ef75831177fd2959b9bf3d212f1316cfea3725c
member4-0010,UIT-MLReceipts,test,images/001325.jpg,960,1280,5,e6fc9d5eac94f8f533a0c476037f3a58d69f7b9a5596e048a151b966af89383e
member4-0011,UIT-MLReceipts,test,images/001331.jpg,1536,2048,5,2af8032fccd8d837a2ec89f247e8d1c6564a1ab2649d7f3ff74686bc9cd7c7a2
member4-0012,UIT-MLReceipts,test,images/001335.jpg,1536,2048,5,3fdd8d06d749b5a30e1aa9186e8c1e7fb6a1dd15418f93a98b30fa791dfc724c
member4-0013,UIT-MLReceipts,test,images/001336.jpg,459,918,3,20306818224d12dd88d5ef0bf7ddc203b424763396fbef1b61857d6352623ac6
member4-0014,UIT-MLReceipts,test,images/001348.jpg,960,720,5,14c15fb2e3f04d353d00745757ce0f674f8148b5daa55ee8aa8a5426b2133f54
member4-0015,UIT-MLReceipts,test,images/001351.jpg,2048,1536,4,f9a82f38de003e2c9273e172f47ea894e0d1ebcf391c295196f1f2a4a6e63b66
member4-0016,UIT-MLReceipts,test,images/001352.jpg,720,960,5,4a6fbdff7564d44a0d7ee154fde991fed6d68a01ccb772301a782a0e28d93576
member4-0017,UIT-MLReceipts,test,images/001353.jpg,2048,1536,4,e31904bae2b233b116d5a36a02ef2cca4abc9663d0f808c68ee59d1269b5eb63
member4-0018,UIT-MLReceipts,test,images/001354.jpg,2048,1536,4,a7cf15bfa30cbe601197411f41f0e1558af2000bf9a4ad3a6f5321d9c583cffe
member4-0019,UIT-MLReceipts,test,images/001355.jpg,1536,2048,4,1076488a259b432dbddfd7ca031bd9a93a6dc420cabf8283bdc308ff0405e29a
member4-0020,UIT-MLReceipts,test,images/001357.jpg,459,918,8,76d8e18e6bea0e4920c417d65d0698453df5ea55ae590592764f06f18e39c706
member4-0021,UIT-MLReceipts,test,images/001358.jpg,1536,2048,5,ccecb93ea15f58ff0d235e849778a42424f180924e7b897bd8733c6c7bdeb043
member4-0022,UIT-MLReceipts,test,images/001359.jpg,2048,1536,4,eed2e28fa2ffeb2fa86ed2a849aede7f6db377983ec0f0fa4850528ac415c09a
member4-0023,UIT-MLReceipts,test,images/001360.jpg,1536,2048,7,38138618480620d89c21a73c7d2f213aebf5474754e8d57d1ac7ed73e2e35902
member4-0024,UIT-MLReceipts,test,images/001362.jpg,1536,2048,7,ec749fd507d96bd3fd4e422d0f06e434f27ebbc628668929723d34995e8d2883
member4-0025,UIT-MLReceipts,test,images/001363.jpg,459,918,4,c750fb5ac43850e685188acff0aa8c42787923baf8cd187200325b0f1f8e9303
member4-0026,UIT-MLReceipts,test,images/001364.jpg,2048,1536,4,69288ca33622e3b0b63391b0a4218a2b0f3143beaf65d8f3a7a7d827ff0eff28
member4-0027,UIT-MLReceipts,test,images/001365.jpg,2048,1536,7,57e3f90d8dbc5a15a9f877863d035c791fc6c36ac269019856191d9ac7f9d056
member4-0028,UIT-MLReceipts,test,images/001366.jpg,2048,1536,7,8256a7e8165a167fd1ef5ab5440711575d4f08ec486cad9a2d7d56bf67f204fa
member4-0029,UIT-MLReceipts,test,images/001367.jpg,1536,2048,7,e9256ccc71b54f9b64471ac35514258198cfcd2ec96fcf89035c5c608bb4eee1
