task_id,dataset,source_split,image_file,width,height,prefilled_kie_regions,sha256
member3-0001,UIT-MLReceipts,val,images/000962.jpg,1536,2048,5,f4f878761161e2fe96c679aebb2d590c4d17396733378624de606781dee91c46
member3-0002,UIT-MLReceipts,val,images/000966.jpg,1536,2048,9,5ae8e03222e26c3ecb7e5951b748d29de5a60aa0df6b4929c1471abac270970b
member3-0003,UIT-MLReceipts,val,images/000967.jpg,1536,2048,5,43a55adde88c7bc0837481e9d147fe5e16a7ae17edad327ab050ea0211adcf31
member3-0004,UIT-MLReceipts,val,images/000968.jpg,2048,1536,8,dedec95f4c824b313cbc515f45a5cc8c2306587da6be1c8161284eca56e9c6a3
member3-0005,UIT-MLReceipts,val,images/000969.jpg,2048,1536,4,36620a69f8fc89d5435edc1db6becedef50d5b96e8879e0406727604dced8c2d
member3-0006,UIT-MLReceipts,val,images/000970.jpg,1536,2048,6,4d0fa7fcc204f04da25a1bc4e718ac5efcabadbbd60aa3126e52042fbdedf4d6
member3-0007,UIT-MLReceipts,val,images/000971.jpg,2048,1536,4,0ea11d18ac71c73d427b3e1de6bd6b491a9253ad206deed59dec182d5d9698f0
member3-0008,UIT-MLReceipts,val,images/000972.jpg,2048,1536,7,f8dc299643cc3d0030f4e28745778375cfc600e167c003114fb40b5ea7b21a79
member3-0009,UIT-MLReceipts,val,images/000973.jpg,720,960,6,740c94f5fb05ca7b64e43e73c25fb187f517e7aaff3ee24c1216dc7c0150a0d1
member3-0010,UIT-MLReceipts,val,images/000974.jpg,2048,1536,7,da4b9c871a978682aaa8b464778d3cdbcfdc844e677d638f3db0d7c43030d131
member3-0011,UIT-MLReceipts,val,images/000976.jpg,2048,1536,4,8e7cc5017065b8e04d40b926786e3e4862e360124f56c00309a684bf9ad0ed68
member3-0012,UIT-MLReceipts,val,images/000977.jpg,1280,640,6,4bc1650645c76919ed3124fc285347e2504c63ca444c5e16e0011e2aa5890229
member3-0013,UIT-MLReceipts,val,images/000978.jpg,956,1276,4,78461f07f0acbbe6ed38b65bf5ae747f4bb9db557b78475c09bf4e2877cbacf4
member3-0014,UIT-MLReceipts,val,images/000979.jpg,1152,2048,7,5a8d2ae83be6caabc95c017b76c42602ad564dd60970dfcd61381ff903ee04aa
member3-0015,UIT-MLReceipts,val,images/000982.jpg,1536,2048,7,0b58fad47657ba67f0a085a3325ad57ede5c2d3efc4d925066dc3a3b9c1227f9
member3-0016,UIT-MLReceipts,val,images/000985.jpg,720,960,3,7c65d5beb9e4de99bb4683d861d6ebe6c982fee9a9e0f581a768c283d58354d1
member3-0017,UIT-MLReceipts,val,images/000988.jpg,2048,1536,5,ef6a1d52fdd6fb2145fe8b316a66f8a740215cc5a74f9ba464e07fc408f4e052
member3-0018,UIT-MLReceipts,val,images/001018.jpg,1536,2048,5,ef8e2fcfa4c657209080f5b21877210c86643739598a325deb8b361fea3f5432
member3-0019,UIT-MLReceipts,val,images/001020.jpg,1536,2048,7,39801389a8da16cef5ffe019fe0a048af0637e03ef18dd1ca0a0b8eda452a5fa
member3-0020,UIT-MLReceipts,val,images/001021.jpg,1536,2048,4,b75ff324b5780ea82b1c9e80557391b79e2379ca4563c7b0a0306d9118756c50
member3-0021,UIT-MLReceipts,val,images/001023.jpg,459,918,5,8e4a657405440cdc769e889bcc5d49af564c0ef110cf05b54fa3e18b21e2c776
member3-0022,UIT-MLReceipts,val,images/001024.jpg,459,918,5,070d349692e3bfbd3480af4895df328dea56fbc58d17ce171e8c52fc3a545891
member3-0023,UIT-MLReceipts,val,images/001025.jpg,1536,2048,7,5e3dadf9111e1cfcdd0d92d16a70fc395dfd75edd7a3f813c5d7251c1c475e03
member3-0024,UIT-MLReceipts,val,images/001026.jpg,2048,1536,4,69d6330a5205c5fc5af5d768725f059c425b1e72dc8b2403c8dbb6b4d7029ee1
member3-0025,UIT-MLReceipts,val,images/001027.jpg,816,608,6,019308079fddd265c2d00cda31daa79887c194836ad006bca5402c70958e5b26
member3-0026,UIT-MLReceipts,val,images/001028.jpg,1276,956,7,9cb08d262aab3526e710343111dd996a3a40505a3bec080301b4def36c2bbd75
member3-0027,UIT-MLReceipts,val,images/001029.jpg,1536,2048,5,00c820edae870ae0ed6ac6adbecfdfc731872bd304ffb204ea91a6e57d31e3aa
member3-0028,UIT-MLReceipts,val,images/001030.jpg,1536,2048,7,d5bab99657b1a084132d9d9da9eea287cb1732deee2b894a3fb5ad36a2372369
member3-0029,UIT-MLReceipts,val,images/001031.jpg,480,360,6,eeca839ab4345eec14f2bdc6ffb12ec6b12e84b1f92905bd46dabdfd62b98be5
member3-0030,UIT-MLReceipts,val,images/001032.jpg,720,1280,7,90c12dd09a359f99de2f88f189edf3002173fbccfe6322241ec17652e7a41dff
member3-0031,UIT-MLReceipts,val,images/001033.jpg,2048,1536,7,a973cbd830b62051e67f7bae0e07fdccc68ed9bc04de68a45d89ea51676e3468
