round,task_id,member,dataset,source_split,image_id,image_file,width,height,package,source_image,sha256
round2,r2-member1-MC-OCR-train-mcocr_public_145013aagqw,member1,MC-OCR,train,mcocr_public_145013aagqw,images/mcocr_public_145013aagqw.jpg,1024,1366,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013aagqw.jpg,39c0a5d62aeae8fcfbc778c83b6e23f5c5f38c3e612eec2e869d055149cf3331
round2,r2-member1-MC-OCR-train-mcocr_public_145013aaprl,member1,MC-OCR,train,mcocr_public_145013aaprl,images/mcocr_public_145013aaprl.jpg,768,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013aaprl.jpg,2ec0eea5ae6373c472b467dece5952fb6339a9baa3b701effb40e7473cd04797
round2,r2-member1-MC-OCR-train-mcocr_public_145013aedmq,member1,MC-OCR,train,mcocr_public_145013aedmq,images/mcocr_public_145013aedmq.jpg,576,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013aedmq.jpg,7e59050c7a9922257fd128996975c15a5b4c67d1583ef5aaf0e732e279a743fa
round2,r2-member1-MC-OCR-train-mcocr_public_145013aeriv,member1,MC-OCR,train,mcocr_public_145013aeriv,images/mcocr_public_145013aeriv.jpg,768,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013aeriv.jpg,ea98cd4478ce77eae9c753dcd49c80bc83b7328a553cae176b6582db9d136a9f
round2,r2-member1-MC-OCR-train-mcocr_public_145013ahfqj,member1,MC-OCR,train,mcocr_public_145013ahfqj,images/mcocr_public_145013ahfqj.jpg,1024,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013ahfqj.jpg,2a32168cae20847396cf3a7f0efef906ccde770e914fb484f09ad95b09374f3d
round2,r2-member1-MC-OCR-train-mcocr_public_145013aisfu,member1,MC-OCR,train,mcocr_public_145013aisfu,images/mcocr_public_145013aisfu.jpg,1024,768,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013aisfu.jpg,20ed6e892baa59726960d18f43693e618406e8c0578e34b49e14414a2df913ec
round2,r2-member1-MC-OCR-train-mcocr_public_145013alpyf,member1,MC-OCR,train,mcocr_public_145013alpyf,images/mcocr_public_145013alpyf.jpg,768,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013alpyf.jpg,4f39e3914195add4b0c78c322bcce5a42ad81ff6b52f2f8f084c76559fbf85b4
round2,r2-member1-MC-OCR-train-mcocr_public_145013alybg,member1,MC-OCR,train,mcocr_public_145013alybg,images/mcocr_public_145013alybg.jpg,768,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013alybg.jpg,98a28d63de65c0400708438dee31efebce47124af12a12c24bbc585b7ef3f736
round2,r2-member1-MC-OCR-train-mcocr_public_145013amzul,member1,MC-OCR,train,mcocr_public_145013amzul,images/mcocr_public_145013amzul.jpg,768,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013amzul.jpg,bb4a6f3eb809b328c92f8d9d51adb3e98f842deff58ab7f27c96953e275a16fd
round2,r2-member1-MC-OCR-train-mcocr_public_145013anmiz,member1,MC-OCR,train,mcocr_public_145013anmiz,images/mcocr_public_145013anmiz.jpg,576,1024,member1/MC-OCR/train,dataset/MC-OCR/clean/train/images/mcocr_public_145013anmiz.jpg,e5a349bfce39e5f54eea871b56bd1e1cb61a18ff78478342729364db5d803dc0
